VTAS,Drag,Lift,CL,CD,Alpha
76.8909,-20279.66042448309,-50837.1374188316,-2.4264637615773084,0.48492570999514906,-0.5235987755982987
76.8909,-16422.182845667623,-46138.628871015346,-2.0941191221241167,0.3854128343522429,-0.46848311500900425
76.8909,-12669.311932746412,-41271.157752748324,-1.7617744826709267,0.29842077524710264,-0.41336745441970957
76.8909,-9592.61686522279,-36252.52492064761,-1.4294298432177408,0.22394953267972878,-0.35825179383041506
76.8909,-7194.106766300287,-31100.045794073063,-1.0970852037645589,0.16199910665012074,-0.3031361332411204
76.89089999999999,-4621.600840653035,-25830.621490917547,-0.7647405643113838,0.11256949715827866,-0.24802047265182575
76.8909,-3015.7755103293875,-20460.81642606794,-0.43239592485821776,0.0756607042042021,-0.19290481206253113
76.8909,-1239.7295905463545,-15006.941342223026,-0.1000512854050651,0.051272727787890604,-0.13778915147323656
76.8909,-149.50359572906405,-9485.140705852264,0.23229335404806825,0.03940556790934323,-0.08267349088394192
76.8909,-5.911715561524034e-11,-3911.483371143884,0.5646379935009465,0.040059224568556644,-0.027557830294647284
76.8909,14.098289147621188,1233.3898271813778,0.8692667776059017,0.052478010487448386,0.027557830294647347
76.8909,5.775291356258094e-11,6862.135510367398,1.2016114159786662,0.07747302671247663,0.08267349088394192
76.8909,5.95719029661268e-11,12494.176306010711,1.5339560554318679,0.11498885949826923,0.1377891514732365
76.8909,-746.8188735324115,18112.821506023593,1.8663006948846663,0.16502550882178904,0.19290481206253113
76.89089999999999,-2094.4141045241604,23700.99677244298,2.1986453343378196,0.22758297468309813,0.24802047265182575
76.8909,-3858.590353425274,29241.157583617554,2.5309899737909864,0.302661257082173,0.30313613324112043
76.8909,-6326.266483784257,34715.2073180997,2.8633346132441626,0.3902603560190141,0.35825179383041506
76.8909,-8930.116132544077,40104.421033295526,3.195679252697344,0.490380271493621,0.41336745441970957
76.8909,-11671.98365639778,45389.37597889483,3.5280238921505314,0.6030210035059946,0.46848311500900425
76.8909,-15122.796103651834,50549.889842940334,3.8603685316037213,0.7281825520561345,0.5235987755982987
